trade_status,instrument_id,symbol,option_type,buy/sell,entry_date,dte,expiry,entry_signal_time,entry_time,entry_price,entry_reason,quantity,market_bias,stop_loss,trailing_sl,exit_date,exit_signal_time,exit_price,exit_reason,pnl_raw,max_loss,max_profit,spot_close
close,NIFTY,NIFTY17FEB2625800PE,PE,sell,2026-02-11,6,2026-02-17,2026-02-11 09:17:00,2026-02-11 09:17:00,48.65,PE trade occured,1,,72.975,45.78619047619048,2026-02-11,2026-02-11 09:35:00,45.78619047619048,ATP trailing hit,2.863809523809522,24.324999999999996,48.65,25994.45
close,NIFTY,NIFTY17FEB2626250CE,CE,sell,2026-02-11,6,2026-02-17,2026-02-11 09:20:00,2026-02-11 09:20:00,41.5,CE trade occured,1,,62.25,42.78027624309393,2026-02-11,2026-02-11 15:16:00,29.55,time_exit,11.95,20.75,41.5,25977.85
close,NIFTY,NIFTY17FEB2626100CE,CE,sell,2026-02-12,5,2026-02-17,2026-02-12 09:17:00,2026-02-12 09:17:00,39.35,CE trade occured,1,,59.025000000000006,45.83186464088398,2026-02-12,2026-02-12 15:16:00,26.9,time_exit,12.450000000000003,19.675000000000004,39.35,25860.25
close,NIFTY,NIFTY17FEB2625400PE,PE,sell,2026-02-13,4,2026-02-17,2026-02-13 09:17:00,2026-02-13 09:17:00,37.75,PE trade occured,1,,56.625,41.21595238095238,2026-02-13,2026-02-13 09:35:00,41.21595238095238,ATP trailing hit,-3.4659523809523805,18.875,37.75,25598.55
close,NIFTY,NIFTY17FEB2625850CE,CE,sell,2026-02-13,4,2026-02-17,2026-02-13 09:17:00,2026-02-13 09:17:00,35.75,CE trade occured,1,,53.625,56.74921270718233,2026-02-13,2026-02-13 15:16:00,22.95,time_exit,12.8,17.875,35.75,25598.55
close,NIFTY,NIFTY17FEB2625250PE,PE,sell,2026-02-16,1,2026-02-17,2026-02-16 09:17:00,2026-02-16 09:17:00,28.4,PE trade occured,1,,42.599999999999994,25.665675675675676,2026-02-16,2026-02-16 09:51:00,25.665675675675676,ATP trailing hit,2.734324324324323,14.199999999999996,28.4,25449.7
close,NIFTY,NIFTY17FEB2625650CE,CE,sell,2026-02-16,1,2026-02-17,2026-02-16 09:24:00,2026-02-16 09:24:00,30.65,CE trade occured,1,,45.974999999999994,24.51952380952381,2026-02-16,2026-02-16 09:35:00,24.51952380952381,ATP trailing hit,6.1304761904761875,15.324999999999996,30.65,25480.65
close,NIFTY,NIFTY17FEB2625700CE,CE,sell,2026-02-17,0,2026-02-17,2026-02-17 09:17:00,2026-02-17 09:17:00,18.15,CE trade occured,1,,27.224999999999998,17.2568,2026-02-17,2026-02-17 09:39:00,17.2568,ATP trailing hit,0.8932000000000002,9.075,18.15,25604.65
close,NIFTY,NIFTY17FEB2625500PE,PE,sell,2026-02-17,0,2026-02-17,2026-02-17 09:18:00,2026-02-17 09:18:00,18.0,PE trade occured,1,,27.0,13.163333333333334,2026-02-17,2026-02-17 09:20:00,27.0,fixed SL hit (50%),-9.0,9.0,18.0,25608.1
close,NIFTY,NIFTY17FEB2625700CE,CE,sell,2026-02-17,0,2026-02-17,2026-02-17 09:20:00,2026-02-17 09:20:00,14.8,CE trade occured,1,,22.200000000000003,17.2568,2026-02-17,2026-02-17 09:39:00,17.2568,ATP trailing hit,-2.4567999999999977,7.400000000000002,14.8,25580.45
